ensembl_gene_id	go_id
ENSCABG00000000051	GO:0005089
ENSCABG00000000052	GO:0005975
ENSCABG00000000052	GO:0008107
ENSCABG00000000052	GO:0016020
ENSCABG00000000056	GO:0007601
ENSCABG00000000056	GO:0048038
ENSCABG00000000056	GO:0009308
ENSCABG00000000056	GO:0005507
ENSCABG00000000056	GO:0008131
ENSCABG00000000056	GO:0055114
ENSCABG00000000057	GO:0046294
ENSCABG00000000057	GO:0018738
ENSCABG00000000057	GO:0016788
ENSCABG00000000057	GO:0042802
ENSCABG00000000058	GO:0046872
ENSCABG00000000058	GO:0005515
ENSCABG00000000059	GO:0016021
ENSCABG00000000059	GO:0004930
ENSCABG00000000059	GO:0007186
ENSCABG00000000059	GO:0004984
ENSCABG00000000060	GO:0005515
ENSCABG00000000061	GO:0006935
ENSCABG00000000061	GO:0004950
ENSCABG00000000061	GO:0016021
ENSCABG00000000061	GO:0004930
ENSCABG00000000061	GO:0007186
ENSCABG00000000062	GO:0006807
ENSCABG00000000062	GO:0016811
ENSCABG00000000063	GO:0005515
ENSCABG00000000064	GO:2001106
ENSCABG00000000064	GO:0045944
ENSCABG00000000064	GO:0008284
ENSCABG00000000064	GO:0045787
ENSCABG00000000064	GO:0016020
ENSCABG00000000065	GO:0016021
ENSCABG00000000065	GO:0004930
ENSCABG00000000065	GO:0007186
ENSCABG00000000067	GO:0005543
ENSCABG00000000067	GO:0008091
ENSCABG00000000067	GO:0003779
ENSCABG00000000067	GO:0005200
ENSCABG00000000067	GO:0005515
ENSCABG00000000067	GO:0030506
ENSCABG00000000067	GO:0051015
ENSCABG00000000067	GO:0005829
ENSCABG00000000067	GO:0014731
ENSCABG00000000067	GO:0032991
ENSCABG00000000069	GO:0001540
ENSCABG00000000069	GO:0005515
ENSCABG00000000070	GO:0071339
ENSCABG00000000073	GO:0045211
ENSCABG00000000073	GO:0022848
ENSCABG00000000073	GO:0034220
ENSCABG00000000073	GO:0004888
ENSCABG00000000073	GO:0005230
ENSCABG00000000073	GO:0016021
ENSCABG00000000073	GO:0006811
ENSCABG00000000073	GO:0005216
ENSCABG00000000073	GO:0001508
ENSCABG00000000073	GO:0001661
ENSCABG00000000073	GO:0001666
ENSCABG00000000073	GO:0006816
ENSCABG00000000073	GO:0006939
ENSCABG00000000073	GO:0007601
ENSCABG00000000073	GO:0007605
ENSCABG00000000073	GO:0007612
ENSCABG00000000073	GO:0007613
ENSCABG00000000073	GO:0007626
ENSCABG00000000073	GO:0008306
ENSCABG00000000073	GO:0008542
ENSCABG00000000073	GO:0014059
ENSCABG00000000073	GO:0019233
ENSCABG00000000073	GO:0021562
ENSCABG00000000073	GO:0021631
ENSCABG00000000073	GO:0021771
ENSCABG00000000073	GO:0021952
ENSCABG00000000073	GO:0021955
ENSCABG00000000073	GO:0030890
ENSCABG00000000073	GO:0032225
ENSCABG00000000073	GO:0032226
ENSCABG00000000073	GO:0033603
ENSCABG00000000073	GO:0035094
ENSCABG00000000073	GO:0035095
ENSCABG00000000073	GO:0035176
ENSCABG00000000073	GO:0042053
ENSCABG00000000073	GO:0042113
ENSCABG00000000073	GO:0042220
ENSCABG00000000073	GO:0042320
ENSCABG00000000073	GO:0042391
ENSCABG00000000073	GO:0045188
ENSCABG00000000073	GO:0045471
